user_id,new_user,age,sex,country,device,operative_system,source,total_pages_visited,home_page,listing_page,product_page,payment_page,confirmation_page
74507,0,28,Male,UK,mobile,iOS,Direct,8,1,0,0,0,1
30326,0,25,Female,Germany,mobile,android,Direct,3,1,1,1,0,1
60798,0,29,Female,UK,desktop,windows,Direct,4,1,0,0,0,1
28599,0,28,Female,US,mobile,iOS,Direct,3,1,1,1,0,1
74686,0,29,Male,UK,mobile,iOS,Seo,7,1,1,1,0,1
18106,0,23,Female,US,mobile,android,Direct,3,1,1,1,0,1
3301,0,28,Male,US,desktop,windows,Seo,4,1,1,1,1,1
71280,0,25,Female,US,mobile,other,Direct,2,1,0,0,0,1
48482,0,23,Female,US,desktop,mac,Direct,2,1,1,0,0,1
45153,0,25,Male,Germany,desktop,windows,Direct,7,1,1,1,0,1
18247,0,21,Female,China,mobile,android,Seo,5,1,0,0,0,1
72801,0,28,Male,US,mobile,iOS,Direct,5,1,1,0,0,1
8159,0,20,Male,US,mobile,iOS,Direct,8,1,1,1,0,1
4984,0,25,Female,UK,mobile,iOS,Direct,2,1,1,0,0,1
49230,0,24,Female,Germany,mobile,android,Ads,7,1,1,1,0,1
46830,0,28,Male,UK,mobile,iOS,Direct,16,1,1,1,0,1
53006,0,23,Male,UK,desktop,windows,Direct,5,1,1,1,0,1
18939,0,23,Female,US,mobile,android,Direct,10,1,1,1,1,1
2169,0,19,Female,China,mobile,android,Direct,3,1,0,0,0,1
3615,0,24,Female,US,mobile,iOS,Direct,5,1,1,1,0,1
18737,0,20,Female,US,mobile,iOS,Direct,5,1,0,0,0,1
56001,0,29,Female,US,desktop,windows,Direct,7,1,1,0,0,1
39011,0,24,Female,US,mobile,android,Direct,9,1,1,1,0,1
15201,0,27,Female,China,mobile,android,Direct,13,1,1,1,0,1
43822,0,24,Female,US,mobile,other,Direct,13,1,1,1,1,1
43469,0,28,Male,China,mobile,iOS,Direct,8,1,1,1,0,1
49615,0,30,Male,UK,mobile,android,Direct,8,1,1,1,0,1
56002,0,27,Male,UK,mobile,iOS,Direct,4,1,0,0,0,1
30659,0,23,Female,China,mobile,iOS,Direct,2,1,1,0,0,1
59381,0,28,Female,US,mobile,android,Direct,11,1,0,0,0,1
59235,0,29,Male,US,desktop,windows,Direct,3,1,1,0,0,1
40985,0,28,Female,US,desktop,windows,Direct,3,1,1,1,0,1
65025,0,30,Male,China,desktop,mac,Direct,4,1,1,1,0,1
21486,0,30,Female,Germany,desktop,windows,Direct,7,1,1,1,0,1
2329,0,30,Female,US,desktop,mac,Direct,3,1,1,1,0,1
56705,0,24,Female,UK,mobile,iOS,Direct,4,1,0,0,0,1
60947,0,19,Female,UK,mobile,iOS,Direct,6,1,1,0,0,1
70220,0,27,Male,US,mobile,android,Direct,3,1,1,1,0,1
56930,0,29,Female,Germany,desktop,windows,Direct,12,1,1,1,0,1
17476,0,23,Male,US,mobile,android,Seo,4,1,1,1,0,1
75856,0,22,Male,US,mobile,android,Direct,3,1,1,1,0,1
7506,0,25,Female,US,desktop,windows,Direct,4,1,1,1,0,1
77784,0,36,Male,US,desktop,mac,Direct,4,1,1,1,1,1
84525,1,24,Female,US,mobile,android,Direct,6,1,0,0,0,1
85029,1,36,Male,China,mobile,iOS,Direct,3,1,1,1,0,1
63980,1,29,Female,UK,mobile,android,Direct,5,1,1,1,1,1
65980,1,41,Male,China,mobile,other,Direct,3,1,1,1,0,1
1145,1,27,Female,US,mobile,android,Ads,4,1,1,1,0,1
60030,1,17,Female,UK,mobile,iOS,Ads,7,1,0,0,0,1
52421,1,39,Female,US,mobile,android,Direct,7,1,1,1,0,1
76542,1,39,Female,US,mobile,iOS,Direct,7,1,1,0,0,1
37281,1,19,Female,UK,desktop,windows,Direct,19,1,1,1,1,1
38793,0,51,Male,US,mobile,iOS,Direct,5,1,1,0,0,1
74999,0,29,Female,US,mobile,iOS,Direct,3,1,1,1,0,1
7639,0,33,Male,China,mobile,android,Direct,3,1,1,1,0,1
69832,0,27,Female,US,mobile,iOS,Direct,9,1,0,0,0,1
84335,0,23,Male,US,mobile,android,Direct,6,1,1,1,0,1
63498,0,38,Male,Germany,desktop,windows,Direct,5,1,0,0,0,1
6836,0,35,Female,US,desktop,mac,Direct,4,1,1,1,0,1
62289,0,28,Female,US,mobile,iOS,Direct,4,1,1,1,0,1
19482,0,40,Female,UK,desktop,windows,Direct,3,1,1,1,0,1
53296,0,41,Male,US,desktop,windows,Direct,4,1,0,0,0,1
70544,0,33,Female,US,mobile,android,Seo,10,1,1,1,0,1
15962,0,24,Male,US,desktop,windows,Direct,3,1,0,0,0,1
16602,0,35,Female,US,mobile,iOS,Seo,8,1,1,0,0,1
7665,0,34,Female,US,mobile,other,Direct,2,1,1,0,0,1
69778,0,27,Male,China,desktop,linux,Direct,3,1,0,0,0,1
56252,0,32,Female,UK,mobile,android,Direct,16,1,1,1,0,1
76175,0,36,Male,US,desktop,windows,Direct,8,1,1,1,0,1
48965,0,26,Male,US,mobile,android,Direct,1,1,0,0,0,1
28114,0,36,Female,UK,mobile,iOS,Direct,2,1,1,0,0,1
30839,1,37,Female,China,desktop,windows,Direct,11,1,1,1,0,1
37492,1,26,Female,US,desktop,windows,Direct,5,1,0,0,0,1
42199,1,51,Female,US,desktop,windows,Direct,5,1,1,0,0,1
64065,0,25,Female,UK,desktop,windows,Direct,3,1,1,1,0,1
77192,0,22,Male,US,desktop,windows,Seo,8,1,1,1,0,1
17915,0,20,Male,US,mobile,android,Ads,4,1,1,1,0,1
4997,0,22,Female,UK,mobile,android,Direct,11,1,0,0,0,1
80190,0,29,Female,UK,desktop,windows,Direct,25,1,1,1,1,1
77749,0,32,Female,US,mobile,android,Direct,3,1,1,1,0,1
79278,0,23,Female,China,desktop,mac,Ads,4,1,1,1,0,1
11239,0,37,Female,US,mobile,iOS,Direct,3,1,1,1,0,1
79730,0,29,Female,China,mobile,other,Direct,6,1,1,1,0,1
84061,0,34,Male,US,desktop,linux,Direct,3,1,0,0,0,1
40472,0,24,Female,US,mobile,android,Direct,5,1,0,0,0,1
51066,0,24,Female,US,desktop,windows,Seo,11,1,1,1,1,1
46184,0,33,Female,US,mobile,other,Direct,3,1,1,1,0,1
7378,0,33,Female,US,mobile,iOS,Direct,3,1,1,0,0,1
85160,0,22,Female,China,desktop,windows,Ads,7,1,0,0,0,1
74052,0,29,Female,US,desktop,windows,Direct,18,1,1,1,1,1
82809,0,39,Female,US,desktop,windows,Direct,2,1,1,0,0,1
5969,0,19,Male,China,desktop,mac,Direct,6,1,1,0,0,1
7738,0,26,Male,US,desktop,linux,Direct,19,1,1,1,0,1
13175,0,40,Female,UK,desktop,windows,Direct,12,1,1,0,0,1
76792,1,41,Female,US,desktop,windows,Direct,3,1,0,0,0,1
41223,1,38,Male,US,mobile,android,Direct,3,1,1,1,0,1
17135,1,24,Male,US,mobile,iOS,Direct,5,1,1,1,0,1
20227,1,31,Female,UK,mobile,iOS,Direct,5,1,0,0,0,1
40521,1,26,Female,US,desktop,mac,Direct,3,1,1,0,0,1
60247,1,43,Female,UK,desktop,windows,Direct,1,1,0,0,0,1
67491,1,20,Male,US,mobile,android,Direct,2,1,0,0,0,1
74540,1,37,Male,China,desktop,windows,Ads,5,1,1,1,1,1
86663,1,21,Male,US,desktop,windows,Direct,6,1,1,0,0,1
47205,1,32,Female,UK,mobile,iOS,Direct,8,1,1,1,0,1
58360,1,26,Male,China,mobile,iOS,Direct,8,1,1,1,0,1
34969,1,24,Female,UK,mobile,iOS,Direct,25,1,1,1,1,1
42597,1,38,Female,China,desktop,windows,Direct,3,1,1,1,0,1
30652,1,27,Female,US,mobile,android,Direct,3,1,1,1,0,1
80257,1,25,Male,UK,mobile,android,Direct,4,1,1,1,0,1
61714,1,26,Female,US,desktop,windows,Seo,5,1,1,1,0,1
59517,1,24,Female,US,desktop,windows,Direct,2,1,1,0,0,1
38894,1,23,Female,US,desktop,windows,Direct,19,1,1,1,1,1
9366,1,37,Female,China,mobile,iOS,Direct,3,1,1,1,0,1
17444,1,38,Female,China,desktop,mac,Direct,8,1,1,1,0,1
86468,1,34,Female,US,mobile,iOS,Ads,7,1,1,0,0,1
87866,1,28,Female,UK,mobile,iOS,Direct,4,1,1,0,0,1
29516,1,22,Female,China,mobile,android,Direct,4,1,1,0,0,1
4628,1,35,Male,US,desktop,windows,Direct,3,1,0,0,0,1
87776,1,36,Female,UK,mobile,iOS,Direct,6,1,0,0,0,1
36169,1,21,Female,China,mobile,iOS,Direct,1,1,0,0,0,1
81053,1,26,Male,US,mobile,iOS,Seo,8,1,1,1,1,1
73971,1,24,Male,US,mobile,other,Direct,5,1,1,1,0,1
66937,1,22,Female,US,desktop,mac,Seo,2,1,1,0,0,1
16383,1,41,Female,UK,mobile,other,Direct,3,1,0,0,0,1
75051,1,39,Female,UK,desktop,windows,Direct,8,1,1,0,0,1
6782,1,35,Male,China,mobile,android,Seo,3,1,0,0,0,1
25045,1,30,Female,China,mobile,android,Direct,8,1,1,1,0,1
51084,1,38,Male,China,desktop,mac,Seo,3,1,0,0,0,1
