user_id,new_user,age,sex,country,device,operative_system,source,total_pages_visited
654951,0,17,Female,US,mobile,android,Direct,3
730619,0,27,Male,UK,mobile,iOS,Direct,5
261033,0,24,Female,US,mobile,android,Seo,4
533685,0,21,Male,UK,desktop,windows,Direct,5
699480,0,17,Male,UK,mobile,iOS,Direct,6
354463,1,29,Female,US,desktop,windows,Ads,3
924836,0,28,Female,UK,mobile,android,Direct,4
242953,1,25,Female,US,mobile,iOS,Direct,4
392444,1,24,Male,Germany,desktop,windows,Seo,4
306226,1,22,Male,China,desktop,windows,Seo,2
364463,1,32,Female,US,desktop,mac,Ads,2
754482,0,31,Male,UK,desktop,windows,Direct,8
783680,1,30,Female,US,mobile,other,Seo,6
512659,0,30,Female,UK,desktop,mac,Direct,7
853832,0,28,Female,US,desktop,windows,Direct,3
590061,0,27,Male,Germany,mobile,iOS,Direct,4
444875,1,25,Female,US,desktop,windows,Ads,3
541606,1,23,Female,UK,mobile,iOS,Seo,9
317399,1,23,Male,US,desktop,mac,Direct,6
458814,0,19,Female,UK,mobile,iOS,Direct,7
856623,0,18,Male,US,mobile,android,Direct,9
749543,0,17,Male,US,mobile,iOS,Direct,3
841940,1,35,Female,US,desktop,windows,Seo,4
77010,0,35,Female,UK,desktop,windows,Direct,6
810035,1,33,Female,Germany,desktop,windows,Seo,3
941961,0,32,Female,US,mobile,iOS,Direct,14
176025,0,31,Female,Germany,mobile,android,Ads,3
223148,0,28,Female,US,mobile,android,Seo,7
555020,1,28,Male,US,desktop,linux,Seo,2
511018,0,28,Female,US,desktop,windows,Direct,10
953023,0,25,Female,US,mobile,iOS,Direct,3
926311,0,24,Female,US,mobile,iOS,Direct,3
474290,0,24,Female,UK,desktop,windows,Direct,6
618526,0,23,Female,US,desktop,windows,Direct,8
584437,0,22,Female,Germany,mobile,other,Direct,3
768623,1,21,Female,US,desktop,windows,Seo,11
432080,1,21,Female,US,mobile,iOS,Seo,5
413322,1,20,Female,US,mobile,android,Seo,7
69491,0,20,Female,US,desktop,windows,Direct,8
132745,0,20,Female,US,mobile,iOS,Direct,14
112326,1,19,Female,Germany,desktop,windows,Seo,1
331330,0,17,Female,US,desktop,windows,Direct,7
27102,1,46,Female,UK,desktop,windows,Seo,3
640446,1,42,Female,UK,mobile,android,Ads,5
243686,0,41,Female,UK,mobile,other,Seo,4
500063,0,39,Female,UK,desktop,windows,Direct,8
